Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
150,0.3444,0.4289,0.68729,12.669,0.3721,0.3649,-9.2574,-11.2131,0,0,0.3
151,0.3437,0.4309,0.68636,21.399,0.3714,0.3669,-9.6773,-11.9969,0,0,0.3
152,0.3428,0.4321,0.68691,9.379,0.3701,0.368,-4.7759,-10.9195,0,0,0.3
153,0.3414,0.4326,0.68812,3.92,0.3684,0.3684,-4.5129,-11.8697,0,0,0.3
154,0.3397,0.4322,0.68959,-7.909,0.3664,0.368,-1.0566,-10.8115,0,0,0.3
155,0.3377,0.4311,0.69052,0.007,0.3644,0.3668,-1.4415,-10.08,0,0,0.3
156,0.3356,0.4293,0.69145,8.653,0.3623,0.3649,-3.3052,-10.852,0,0,0.3
157,0.3333,0.4267,0.69298,-0.003,0.3599,0.3623,-1.4429,-8.6381,0,0,0.3
158,0.3309,0.4236,0.69451,4.773,0.3574,0.359,-1.6784,-10.5037,0,0,0.3
159,0.3286,0.4197,0.69637,3.855,0.3548,0.3551,-0.1953,-8.9806,0,0,0.3
160,0.3263,0.4153,0.6985,-26.84,0.3522,0.3505,-0.1137,-7.6895,0,0,0.3
161,0.3241,0.4102,0.69877,4.786,0.3496,0.3454,2.6426,-10.5058,0,0,0.3
162,0.322,0.4044,0.69937,-26.784,0.3472,0.3395,2.7673,-7.6966,0,0,0.3
163,0.3201,0.3981,0.6981,-26.686,0.3449,0.3331,4.1934,-9.1403,0,0,0.3
164,0.3184,0.3911,0.69499,-8.484,0.343,0.3261,3.2824,-9.3152,0,0,0.3
165,0.3168,0.3835,0.69128,-13.175,0.3413,0.3184,3.5014,-10.3304,0,0,0.3
166,0.3154,0.3751,0.68666,-13.063,0.3398,0.31,2.0397,-8.8916,0,0,0.3
167,0.314,0.366,0.68114,0.266,0.3385,0.301,2.8278,-11.5229,0,0,0.3
168,0.3129,0.3562,0.67563,13.426,0.3373,0.2912,3.6493,-9.8323,0,0,0.3
169,0.3119,0.3457,0.67105,8.847,0.3364,0.2807,0.9998,-10.8667,0,0,0.3
