Time(s),Length(m),[Calcium],Force(N)
 0.467,0.292168,1.000000,65.961214
 0.468,0.292168,1.000000,65.961839
 0.469,0.292168,1.000000,65.962454
 0.470,0.292168,1.000000,65.963056
 0.471,0.292168,1.000000,65.963647
 0.472,0.292168,1.000000,65.964228
 0.473,0.292168,1.000000,65.964797
 0.474,0.292168,1.000000,65.965356
 0.475,0.292168,1.000000,65.965904
 0.476,0.292168,1.000000,65.966442
 0.477,0.292168,1.000000,65.966971
 0.478,0.292168,1.000000,65.967489
 0.479,0.292168,1.000000,65.967998
 0.480,0.292169,1.000000,65.968498
 0.481,0.292169,1.000000,65.968988
 0.482,0.292169,1.000000,65.969469
 0.483,0.292169,1.000000,65.969942
 0.484,0.292169,1.000000,65.970405
 0.485,0.292169,1.000000,65.970861
 0.486,0.292169,1.000000,65.971308
 0.487,0.292169,1.000000,65.971746
 0.488,0.292169,1.000000,65.972177
 0.489,0.292169,1.000000,65.972600
 0.490,0.292169,1.000000,65.973016
 0.491,0.292169,1.000000,65.973424
 0.492,0.292169,1.000000,65.973824
 0.493,0.292169,1.000000,65.974217
 0.494,0.292169,1.000000,65.974603
 0.495,0.292169,1.000000,65.974983
 0.496,0.292169,1.000000,65.975355
 0.497,0.292169,1.000000,65.975721
 0.498,0.292169,1.000000,65.976080
 0.499,0.292169,1.000000,65.976433
 0.500,0.292169,0.999986,65.976779
 0.501,0.292169,0.905462,65.976283
 0.502,0.292169,0.819296,65.973996
 0.503,0.292169,0.741330,65.969775
 0.504,0.292168,0.670783,65.963462
 0.505,0.292168,0.606949,65.954879
 0.506,0.292168,0.549191,65.943829
 0.507,0.292167,0.496928,65.930094
 0.508,0.292167,0.449639,65.913431
 0.509,0.292166,0.406850,65.893573
 0.510,0.292165,0.368133,65.870220
 0.511,0.292164,0.333101,65.843043
 0.512,0.292163,0.301402,65.810744
 0.513,0.292162,0.272720,65.771525
 0.514,0.292161,0.246767,65.727383
 0.515,0.292159,0.223284,65.677822
 0.516,0.292157,0.202036,65.622296
 0.517,0.292155,0.182810,65.560202
 0.518,0.292153,0.165413,65.490877
 0.519,0.292150,0.149672,65.413593
 0.520,0.292147,0.135429,65.327549
 0.521,0.292144,0.122541,65.231867
 0.522,0.292141,0.110880,65.125586
 0.523,0.292137,0.100328,65.007657
 0.524,0.292133,0.090781,64.876934
 0.525,0.292128,0.082142,64.732175
 0.526,0.292123,0.074325,64.572030
 0.527,0.292117,0.067252,64.395048
 0.528,0.292110,0.060852,64.199667
 0.529,0.292103,0.055061,63.984485
 0.530,0.292096,0.049821,63.748944
 0.531,0.292087,0.045080,63.489645
 0.532,0.292078,0.040790,63.204659
 0.533,0.292067,0.036909,62.890283
 0.534,0.292056,0.033396,62.544905
 0.535,0.292044,0.030218,62.167963
 0.536,0.292030,0.027343,61.757508
 0.537,0.292015,0.024741,61.311702
 0.538,0.292000,0.022386,60.830274
 0.539,0.291983,0.020256,60.310584
 0.540,0.291964,0.018328,59.748358
 0.541,0.291944,0.016584,59.145884
 0.542,0.291923,0.015006,58.503356
 0.543,0.291901,0.013578,57.821595
 0.544,0.291877,0.012286,57.098062
 0.545,0.291852,0.011117,56.335776
 0.546,0.291826,0.010059,55.538624
 0.547,0.291798,0.009102,54.705844
 0.548,0.291770,0.008235,53.841741
 0.549,0.291741,0.007452,52.950982
 0.550,0.291710,0.006743,52.033900
 0.551,0.291680,0.006101,51.098006
 0.552,0.291648,0.005520,50.144147
 0.553,0.291617,0.004995,49.178705
 0.554,0.291585,0.004520,48.203554
 0.555,0.291552,0.004090,47.224216
 0.556,0.291520,0.003700,46.242221
 0.557,0.291488,0.003348,45.262742
 0.558,0.291456,0.003030,44.286723
 0.559,0.291424,0.002741,43.318057
 0.560,0.291392,0.002480,42.358432
 0.561,0.291361,0.002244,41.409785
 0.562,0.291330,0.002031,40.474114
 0.563,0.291300,0.001838,39.551986
 0.564,0.291270,0.001663,38.645108
 0.565,0.291241,0.001504,37.754265
 0.566,0.291212,0.001361,36.879889
 0.567,0.291184,0.001232,36.022747
 0.568,0.291157,0.001115,35.183019
 0.569,0.291130,0.001008,34.360836
 0.570,0.291103,0.000913,33.556592
 0.571,0.291077,0.000826,32.770151
 0.572,0.291052,0.000747,32.001020
 0.573,0.291027,0.000676,31.249841
 0.574,0.291003,0.000612,30.516098
 0.575,0.290980,0.000553,29.799288
 0.576,0.290957,0.000501,29.099372
 0.577,0.290934,0.000453,28.416334
 0.578,0.290912,0.000410,27.749655
