Time(s),Length(m),[Calcium],Force(N)
 0.558,0.238425,1.000000,99.552870
 0.560,0.238491,1.000000,99.588049
 0.562,0.238558,1.000000,99.633935
 0.564,0.238625,1.000000,99.682239
 0.566,0.238692,1.000000,99.732770
 0.568,0.238759,1.000000,99.785347
 0.570,0.238826,1.000000,99.839798
 0.572,0.238893,1.000000,99.895960
 0.574,0.238960,1.000000,99.953681
 0.576,0.239027,1.000000,100.012815
 0.578,0.239094,1.000000,100.073225
 0.580,0.239161,1.000000,100.134785
 0.582,0.239229,1.000000,100.197374
 0.584,0.239296,1.000000,100.260879
 0.586,0.239363,1.000000,100.325200
 0.588,0.239431,1.000000,100.390282
 0.590,0.239498,1.000000,100.456049
 0.592,0.239565,1.000000,100.522416
 0.594,0.239633,1.000000,100.589304
 0.596,0.239700,1.000000,100.656640
 0.598,0.239768,1.000000,100.724352
 0.600,0.239835,1.000000,100.792378
 0.602,0.239903,1.000000,100.860656
 0.604,0.239970,1.000000,100.929129
 0.606,0.240038,1.000000,100.997747
 0.608,0.240105,1.000000,101.066459
 0.610,0.240173,1.000000,101.135222
 0.612,0.240240,1.000000,101.203994
 0.614,0.240307,1.000000,101.272738
 0.616,0.240375,1.000000,101.341418
 0.618,0.240442,1.000000,101.410003
 0.620,0.240510,1.000000,101.478464
 0.622,0.240577,1.000000,101.546774
 0.624,0.240645,1.000000,101.614909
 0.626,0.240712,1.000000,101.682847
 0.628,0.240780,1.000000,101.750570
 0.630,0.240847,1.000000,101.818059
 0.632,0.240915,1.000000,101.885300
 0.634,0.240982,1.000000,101.952277
 0.636,0.241049,1.000000,102.018979
 0.638,0.241117,1.000000,102.085395
 0.640,0.241184,1.000000,102.151515
 0.642,0.241252,1.000000,102.217331
 0.644,0.241319,1.000000,102.282837
 0.646,0.241386,1.000000,102.348026
 0.648,0.241454,1.000000,102.412893
 0.650,0.241521,1.000000,102.477435
 0.652,0.241588,1.000000,102.541647
 0.654,0.241656,1.000000,102.605527
 0.656,0.241723,1.000000,102.669073
 0.658,0.241790,1.000000,102.732284
 0.660,0.241858,1.000000,102.795159
 0.662,0.241925,1.000000,102.857697
 0.664,0.241992,1.000000,102.919899
 0.666,0.242059,1.000000,102.981764
 0.668,0.242127,1.000000,103.043294
 0.670,0.242194,1.000000,103.104488
 0.672,0.242261,1.000000,103.165349
 0.674,0.242328,1.000000,103.225878
 0.676,0.242395,1.000000,103.286075
 0.678,0.242463,1.000000,103.345943
 0.680,0.242530,1.000000,103.405484
 0.682,0.242597,1.000000,103.464698
 0.684,0.242664,1.000000,103.523589
 0.686,0.242731,1.000000,103.582157
 0.688,0.242798,1.000000,103.640404
 0.690,0.242865,1.000000,103.698334
 0.692,0.242933,1.000000,103.755946
 0.694,0.243000,1.000000,103.813244
 0.696,0.243067,1.000000,103.870229
 0.698,0.243134,1.000000,103.926902
 0.700,0.243201,1.000000,103.983266
 0.702,0.243268,1.000000,104.039323
 0.704,0.243335,1.000000,104.095073
 0.706,0.243402,1.000000,104.150518
 0.708,0.243469,1.000000,104.205661
 0.710,0.243536,1.000000,104.260502
 0.712,0.243603,1.000000,104.315042
 0.714,0.243670,1.000000,104.369283
 0.716,0.243737,1.000000,104.423227
 0.718,0.243804,1.000000,104.476874
 0.720,0.243871,1.000000,104.530225
 0.722,0.243938,1.000000,104.583282
 0.724,0.244005,1.000000,104.636045
 0.726,0.244072,1.000000,104.688516
 0.728,0.244139,1.000000,104.740694
 0.730,0.244206,1.000000,104.792581
 0.732,0.244273,1.000000,104.844178
 0.734,0.244340,1.000000,104.895485
 0.736,0.244407,1.000000,104.946503
 0.738,0.244473,1.000000,104.997231
 0.740,0.244540,1.000000,105.047672
 0.742,0.244607,1.000000,105.097825
 0.744,0.244674,1.000000,105.147690
 0.746,0.244741,1.000000,105.197268
 0.748,0.244808,1.000000,105.246559
 0.750,0.244874,1.000000,105.295563
 0.752,0.244941,1.000000,105.344282
 0.754,0.245008,1.000000,105.392714
 0.756,0.245075,1.000000,105.440860
 0.758,0.245142,1.000000,105.488720
 0.760,0.245208,1.000000,105.536294
 0.762,0.245275,1.000000,105.583583
 0.764,0.245342,1.000000,105.630586
 0.766,0.245409,1.000000,105.677304
 0.768,0.245476,1.000000,105.723736
 0.770,0.245542,1.000000,105.769882
 0.772,0.245609,1.000000,105.815744
 0.774,0.245676,1.000000,105.861319
 0.776,0.245742,1.000000,105.906610
 0.778,0.245809,1.000000,105.951614
 0.780,0.245876,1.000000,105.996333
 0.782,0.245942,1.000000,106.040767
 0.784,0.246009,1.000000,106.084915
 0.786,0.246076,1.000000,106.128777
 0.788,0.246142,1.000000,106.172354
 0.790,0.246209,1.000000,106.215644
 0.792,0.246276,1.000000,106.258649
 0.794,0.246342,1.000000,106.301368
 0.796,0.246409,1.000000,106.343801
 0.798,0.246476,1.000000,106.385948
 0.800,0.246542,1.000000,106.427809
 0.802,0.246609,1.000000,106.469384
 0.804,0.246675,1.000000,106.510672
 0.806,0.246742,1.000000,106.551675
 0.808,0.246808,1.000000,106.592391
 0.810,0.246875,1.000000,106.632820
 0.812,0.246942,1.000000,106.672964
 0.814,0.247008,1.000000,106.712821
 0.816,0.247075,1.000000,106.752391
 0.818,0.247141,1.000000,106.791676
 0.820,0.247208,1.000000,106.830673
 0.822,0.247274,1.000000,106.869384
 0.824,0.247341,1.000000,106.907809
 0.826,0.247407,1.000000,106.945947
 0.828,0.247473,1.000000,106.983799
 0.830,0.247540,1.000000,107.021364
 0.832,0.247606,1.000000,107.058643
 0.834,0.247673,1.000000,107.095635
 0.836,0.247739,1.000000,107.132341
 0.838,0.247806,1.000000,107.168760
 0.840,0.247872,1.000000,107.204893
 0.842,0.247938,1.000000,107.240739
 0.844,0.248005,1.000000,107.276300
 0.846,0.248071,1.000000,107.311573
 0.848,0.248138,1.000000,107.346561
 0.850,0.248204,1.000000,107.381262
 0.852,0.248270,1.000000,107.415677
 0.854,0.248337,1.000000,107.449806
 0.856,0.248403,1.000000,107.483649
 0.858,0.248469,1.000000,107.517206
 0.860,0.248536,1.000000,107.550477
 0.862,0.248602,1.000000,107.583462
 0.864,0.248668,1.000000,107.616162
 0.866,0.248734,1.000000,107.648575
 0.868,0.248801,1.000000,107.680704
 0.870,0.248867,1.000000,107.712546
 0.872,0.248933,1.000000,107.744103
 0.874,0.248999,1.000000,107.775375
 0.876,0.249066,1.000000,107.806362
 0.878,0.249132,1.000000,107.837064
 0.880,0.249198,1.000000,107.867480
 0.882,0.249264,1.000000,107.897612
 0.884,0.249331,1.000000,107.927458
 0.886,0.249397,1.000000,107.957021
 0.888,0.249463,1.000000,107.986298
 0.890,0.249529,1.000000,108.015291
 0.892,0.249595,1.000000,108.044000
 0.894,0.249661,1.000000,108.072425
 0.896,0.249728,1.000000,108.100565
 0.898,0.249794,1.000000,108.128422
 0.900,0.249860,1.000000,108.155994
 0.902,0.249926,1.000000,108.183283
 0.904,0.249992,1.000000,108.210289
 0.906,0.250058,1.000000,108.237011
 0.908,0.250124,1.000000,108.263450
 0.910,0.250190,1.000000,108.289606
 0.912,0.250256,1.000000,108.315479
 0.914,0.250322,1.000000,108.341069
 0.916,0.250388,1.000000,108.366376
 0.918,0.250455,1.000000,108.391401
 0.920,0.250521,1.000000,108.416144
 0.922,0.250587,1.000000,108.440604
 0.924,0.250653,1.000000,108.464782
 0.926,0.250719,1.000000,108.488679
 0.928,0.250785,1.000000,108.512293
 0.930,0.250851,1.000000,108.535627
 0.932,0.250917,1.000000,108.558678
 0.934,0.250983,1.000000,108.581449
 0.936,0.251048,1.000000,108.603939
 0.938,0.251114,1.000000,108.626148
 0.940,0.251180,1.000000,108.648076
 0.942,0.251246,1.000000,108.669723
 0.944,0.251312,1.000000,108.691091
 0.946,0.251378,1.000000,108.712178
 0.948,0.251444,1.000000,108.732985
 0.950,0.251510,1.000000,108.753512
 0.952,0.251576,1.000000,108.773760
 0.954,0.251642,1.000000,108.793729
 0.956,0.251708,1.000000,108.813418
 0.958,0.251773,1.000000,108.832829
 0.960,0.251839,1.000000,108.851960
 0.962,0.251905,1.000000,108.870813
 0.964,0.251971,1.000000,108.889388
 0.966,0.252037,1.000000,108.907684
 0.968,0.252103,1.000000,108.925702
 0.970,0.252168,1.000000,108.943443
 0.972,0.252234,1.000000,108.960906
 0.974,0.252300,1.000000,108.978092
 0.976,0.252366,1.000000,108.995000
 0.978,0.252431,1.000000,109.011631
 0.980,0.252497,1.000000,109.027986
 0.982,0.252563,1.000000,109.044064
 0.984,0.252629,1.000000,109.059866
 0.986,0.252694,1.000000,109.075392
 0.988,0.252760,1.000000,109.090642
 0.990,0.252826,1.000000,109.105616
 0.992,0.252892,1.000000,109.120315
 0.994,0.252957,1.000000,109.134739
 0.996,0.253023,1.000000,109.148887
 0.998,0.253089,1.000000,109.162761
 1.000,0.253154,1.000000,109.176361
 1.002,0.253220,1.000000,109.189686
 1.004,0.253286,1.000000,109.202737
 1.006,0.253351,1.000000,109.215514
 1.008,0.253417,1.000000,109.228018
 1.010,0.253482,1.000000,109.240248
 1.012,0.253548,1.000000,109.252206
 1.014,0.253614,1.000000,109.263890
 1.016,0.253679,1.000000,109.275302
 1.018,0.253745,1.000000,109.286442
 1.020,0.253810,1.000000,109.297309
 1.022,0.253876,1.000000,109.307905
 1.024,0.253942,1.000000,109.318228
 1.026,0.254007,1.000000,109.328281
 1.028,0.254073,1.000000,109.338063
 1.030,0.254138,1.000000,109.347573
 1.032,0.254204,1.000000,109.356813
 1.034,0.254269,1.000000,109.365783
 1.036,0.254335,1.000000,109.374483
 1.038,0.254400,1.000000,109.382912
 1.040,0.254466,1.000000,109.391073
 1.042,0.254531,1.000000,109.398964
 1.044,0.254597,1.000000,109.406586
 1.046,0.254662,1.000000,109.413939
 1.048,0.254728,1.000000,109.421024
 1.050,0.254793,1.000000,109.427841
 1.052,0.254858,1.000000,109.434390
 1.054,0.254924,1.000000,109.440671
 1.056,0.254989,1.000000,109.446684
 1.058,0.255055,1.000000,109.452431
 1.060,0.255120,1.000000,109.457911
 1.062,0.255185,1.000000,109.463124
 1.064,0.255251,1.000000,109.468071
 1.066,0.255316,1.000000,109.472753
 1.068,0.255382,1.000000,109.477168
 1.070,0.255447,1.000000,109.481318
 1.072,0.255512,1.000000,109.485203
 1.074,0.255578,1.000000,109.488823
 1.076,0.255643,1.000000,109.492179
 1.078,0.255708,1.000000,109.495270
 1.080,0.255774,1.000000,109.498098
 1.082,0.255839,1.000000,109.500662
 1.084,0.255904,1.000000,109.502963
 1.086,0.255969,1.000000,109.505000
 1.088,0.256035,1.000000,109.506775
 1.090,0.256100,1.000000,109.508287
 1.092,0.256165,1.000000,109.509538
 1.094,0.256230,1.000000,109.510526
 1.096,0.256296,1.000000,109.511253
 1.098,0.256361,1.000000,109.511719
 1.100,0.256426,1.000000,109.511924
 1.102,0.256491,1.000000,109.511868
 1.104,0.256557,1.000000,109.511552
 1.106,0.256622,1.000000,109.510977
 1.108,0.256687,1.000000,109.510141
 1.110,0.256752,1.000000,109.509046
 1.112,0.256817,1.000000,109.507692
 1.114,0.256882,1.000000,109.506080
 1.116,0.256948,1.000000,109.504209
 1.118,0.257013,1.000000,109.502080
 1.120,0.257078,1.000000,109.499694
 1.122,0.257143,1.000000,109.497050
 1.124,0.257208,1.000000,109.494149
 1.126,0.257273,1.000000,109.490991
 1.128,0.257338,1.000000,109.487577
 1.130,0.257403,1.000000,109.483906
 1.132,0.257469,1.000000,109.479980
 1.134,0.257534,1.000000,109.475799
 1.136,0.257599,1.000000,109.471362
 1.138,0.257664,1.000000,109.466671
 1.140,0.257729,1.000000,109.461726
 1.142,0.257794,1.000000,109.456526
 1.144,0.257859,1.000000,109.451072
 1.146,0.257924,1.000000,109.445366
 1.148,0.257989,1.000000,109.439406
 1.150,0.258054,1.000000,109.433193
 1.152,0.258119,1.000000,109.426728
 1.154,0.258184,1.000000,109.420011
 1.156,0.258249,1.000000,109.413043
 1.158,0.258314,1.000000,109.405823
 1.160,0.258379,1.000000,109.398352
 1.162,0.258444,1.000000,109.390631
 1.164,0.258509,1.000000,109.382659
 1.166,0.258574,1.000000,109.374437
 1.168,0.258639,1.000000,109.365966
 1.170,0.258704,1.000000,109.357245
 1.172,0.258769,1.000000,109.348276
 1.174,0.258834,1.000000,109.339058
 1.176,0.258898,1.000000,109.329593
 1.178,0.258963,1.000000,109.319879
 1.180,0.259028,1.000000,109.309918
 1.182,0.259093,1.000000,109.299710
 1.184,0.259158,1.000000,109.289255
 1.186,0.259223,1.000000,109.278554
 1.188,0.259288,1.000000,109.267607
 1.190,0.259353,1.000000,109.256414
 1.192,0.259417,1.000000,109.244976
 1.194,0.259482,1.000000,109.233293
 1.196,0.259547,1.000000,109.221366
 1.198,0.259612,1.000000,109.209195
 1.200,0.259677,1.000000,109.196780
 1.202,0.259741,1.000000,109.184121
 1.204,0.259806,1.000000,109.171220
 1.206,0.259871,1.000000,109.158076
 1.208,0.259936,1.000000,109.144690
 1.210,0.260001,1.000000,109.131062
 1.212,0.260065,1.000000,109.117192
 1.214,0.260130,1.000000,109.103081
 1.216,0.260195,1.000000,109.088730
 1.218,0.260260,1.000000,109.074138
 1.220,0.260324,1.000000,109.059307
 1.222,0.260389,1.000000,109.044235
 1.224,0.260454,1.000000,109.028925
 1.226,0.260518,1.000000,109.013376
 1.228,0.260583,1.000000,108.997588
 1.230,0.260648,1.000000,108.981562
 1.232,0.260713,1.000000,108.965299
 1.234,0.260777,1.000000,108.948798
 1.236,0.260842,1.000000,108.932061
 1.238,0.260907,1.000000,108.915087
 1.240,0.260971,1.000000,108.897877
 1.242,0.261036,1.000000,108.880431
 1.244,0.261100,1.000000,108.862750
 1.246,0.261165,1.000000,108.844834
 1.248,0.261230,1.000000,108.826684
 1.250,0.261294,1.000000,108.808300
