Frame,AANK,WANK,RJM,RJFS,RJFC,WFOOT,WLEG
214,30.42,0.12,34.7,0.41,359.37,2.3,-2.42
215,30.44,3.44,34.41,2.02,356.96,4.23,-7.67
216,30.48,10.3,33.95,5.00,354.10,0,-10.3
217,30.61,12.6,33.91,6.81,354.10,-2.31,-10.3
218,30.69,8.98,33.76,9.88,353.49,0,-8.98
219,30.76,7.16,33.99,11.53,355.32,0,-7.16
220,30.81,6.25,34.32,12.98,358.45,-2.3,-3.94
221,30.86,6.43,34.73,14.53,365.67,-4.61,-1.82
222,30.91,2.12,35.03,16.17,371.18,0,-2.12
223,30.9,0,35,18.61,376.10,0,0
224,30.91,0.61,35.28,18.14,381.60,-1.92,1.31
225,30.91,-2.92,35,20.51,381.87,0,2.92
226,30.86,-3.67,34.66,20.34,384.07,-2.69,6.36
227,30.85,-5.19,34.42,22.81,387.05,-4.61,9.79
228,30.78,-9.63,34,20.43,386.10,-4.61,14.24
229,30.68,-15.19,33.62,22.39,388.81,-4.61,19.79
230,30.52,-20.72,33.07,20.91,386.97,-2.3,23.02
231,30.34,-22.64,32.39,20.41,386.20,-2.69,25.33
232,30.15,-28.08,31.9,18.89,385.05,-2.3,30.39
233,29.87,-34.13,30.88,20.20,380.33,0,34.13
234,29.58,-37.06,30.18,17.48,379.46,-2.3,39.36
235,29.25,-38.51,29.17,19.07,373.65,-4.61,43.12
236,28.94,-41.54,28.42,17.41,371.98,-5,46.53
237,28.56,-47.48,27.53,15.56,365.30,-4.6,52.08
238,28.15,-48.92,26.61,16.71,361.58,-7.3,56.23
239,27.75,-51.06,25.91,14.52,355.35,-7.3,58.36
240,27.29,-56.78,25.16,13.29,349.03,-5,61.79
241,26.8,-60.15,24.43,11.37,342.33,-4.6,64.75
242,26.29,-59.96,23.36,12.55,334.49,-6.9,66.86
243,25.8,-63.37,22.5,9.49,326.21,-7.31,70.68
244,25.24,-68.63,21.37,10.63,318.03,-4.6,73.22
245,24.66,-73.5,20.51,7.51,310.30,-2.3,75.8
246,24.01,-73.38,19.35,7.97,300.66,-5.01,78.39
247,23.43,-74.25,18.73,4.52,293.15,-5.01,79.26
248,22.77,-76.83,17.6,3.99,283.54,-4.18,81.01
249,22.15,-75.5,16.65,4.55,274.41,-6.9,82.39
250,21.51,-79.14,15.88,2.99,266.84,-5.01,84.15
251,20.83,-81.67,15.11,2.62,258.30,-4.59,86.27
252,20.15,-82.78,14.41,2.13,249.51,-4.59,87.37
253,19.45,-86.84,13.79,0.59,241.51,-2.3,89.13
254,18.71,-87.45,13.06,1.27,231.95,-2.3,89.74
