Time(s),Force(N)
 1.610,   1.520
 1.612,   1.703
 1.614,   1.837
 1.616,   1.788
 1.618,   1.682
 1.620,   1.575
 1.622,   1.522
 1.624,   1.626
 1.626,   1.839
 1.628,   1.806
 1.630,   1.711
 1.632,   1.600
 1.634,   1.528
 1.636,   1.568
 1.638,   1.823
 1.640,   1.821
 1.642,   1.739
 1.644,   1.627
 1.646,   1.539
 1.648,   1.532
 1.650,   1.779
 1.652,   1.831
 1.654,   1.766
 1.656,   1.654
 1.658,   1.555
 1.660,   1.520
 1.662,   1.703
 1.664,   1.837
 1.666,   1.788
 1.668,   1.682
 1.670,   1.575
 1.672,   1.522
 1.674,   1.626
 1.676,   1.839
 1.678,   1.806
 1.680,   1.711
 1.682,   1.600
 1.684,   1.528
 1.686,   1.568
 1.688,   1.823
 1.690,   1.821
 1.692,   1.739
 1.694,   1.627
 1.696,   1.539
 1.698,   1.532
 1.700,   1.779
 1.702,   1.831
 1.704,   1.766
 1.706,   1.654
 1.708,   1.555
 1.710,   1.520
 1.712,   1.703
 1.714,   1.837
 1.716,   1.788
 1.718,   1.682
 1.720,   1.575
 1.722,   1.522
 1.724,   1.626
 1.726,   1.839
 1.728,   1.806
 1.730,   1.711
 1.732,   1.600
 1.734,   1.528
 1.736,   1.568
 1.738,   1.823
 1.740,   1.821
 1.742,   1.739
 1.744,   1.627
 1.746,   1.539
 1.748,   1.532
 1.750,   1.779
 1.752,   1.831
 1.754,   1.766
 1.756,   1.654
 1.758,   1.555
 1.760,   1.520
 1.762,   1.703
 1.764,   1.837
 1.766,   1.788
 1.768,   1.682
 1.770,   1.575
 1.772,   1.522
 1.774,   1.626
 1.776,   1.839
 1.778,   1.806
 1.780,   1.711
 1.782,   1.600
 1.784,   1.528
 1.786,   1.568
 1.788,   1.823
 1.790,   1.821
 1.792,   1.739
 1.794,   1.627
 1.796,   1.539
 1.798,   1.532
 1.800,   1.779
 1.802,   1.831
 1.804,   1.766
 1.806,   1.654
 1.808,   1.555
 1.810,   1.520
 1.812,   1.703
 1.814,   1.837
 1.816,   1.788
 1.818,   1.682
 1.820,   1.575
 1.822,   1.522
 1.824,   1.626
 1.826,   1.839
 1.828,   1.806
 1.830,   1.711
 1.832,   1.600
 1.834,   1.528
 1.836,   1.568
 1.838,   1.823
 1.840,   1.821
 1.842,   1.739
 1.844,   1.627
 1.846,   1.539
 1.848,   1.532
 1.850,   1.779
 1.852,   1.831
 1.854,   1.766
 1.856,   1.654
 1.858,   1.555
 1.860,   1.520
 1.862,   1.703
 1.864,   1.837
 1.866,   1.788
 1.868,   1.682
 1.870,   1.575
 1.872,   1.522
 1.874,   1.626
 1.876,   1.839
 1.878,   1.806
 1.880,   1.711
 1.882,   1.600
 1.884,   1.528
 1.886,   1.568
 1.888,   1.823
 1.890,   1.821
 1.892,   1.739
 1.894,   1.627
 1.896,   1.539
 1.898,   1.532
 1.900,   1.779
 1.902,   1.831
 1.904,   1.766
 1.906,   1.654
 1.908,   1.555
 1.910,   1.520
 1.912,   1.703
 1.914,   1.837
 1.916,   1.788
 1.918,   1.682
 1.920,   1.575
 1.922,   1.522
 1.924,   1.626
 1.926,   1.839
 1.928,   1.806
 1.930,   1.711
