Time(s),Length(m),[Calcium],Force(N)
 0.620,0.265791,1.000000,57.823902
 0.622,0.265736,1.000000,57.851883
 0.624,0.265681,1.000000,57.879795
 0.626,0.265627,1.000000,57.907637
 0.628,0.265572,1.000000,57.935405
 0.630,0.265517,1.000000,57.963099
 0.632,0.265463,1.000000,57.990716
 0.634,0.265408,1.000000,58.018254
 0.636,0.265353,1.000000,58.045714
 0.638,0.265299,1.000000,58.073092
 0.640,0.265244,1.000000,58.100388
 0.642,0.265189,1.000000,58.127600
 0.644,0.265135,1.000000,58.154728
 0.646,0.265080,1.000000,58.181770
 0.648,0.265025,1.000000,58.208725
 0.650,0.264971,1.000000,58.235593
 0.652,0.264916,1.000000,58.262373
 0.654,0.264861,1.000000,58.289063
 0.656,0.264807,1.000000,58.315664
 0.658,0.264752,1.000000,58.342173
 0.660,0.264697,1.000000,58.368592
 0.662,0.264643,1.000000,58.394918
 0.664,0.264588,1.000000,58.421151
 0.666,0.264533,1.000000,58.447292
 0.668,0.264479,1.000000,58.473338
 0.670,0.264424,1.000000,58.499291
 0.672,0.264369,1.000000,58.525148
 0.674,0.264315,1.000000,58.550910
 0.676,0.264260,1.000000,58.576577
 0.678,0.264205,1.000000,58.602147
 0.680,0.264150,1.000000,58.627621
 0.682,0.264096,1.000000,58.652997
 0.684,0.264041,1.000000,58.678276
 0.686,0.263986,1.000000,58.703457
 0.688,0.263931,1.000000,58.728540
 0.690,0.263877,1.000000,58.753525
 0.692,0.263822,1.000000,58.778410
 0.694,0.263767,1.000000,58.803196
 0.696,0.263712,1.000000,58.827883
 0.698,0.263658,1.000000,58.852469
 0.700,0.263603,1.000000,58.876955
 0.702,0.263548,1.000000,58.901340
 0.704,0.263493,1.000000,58.925625
 0.706,0.263439,1.000000,58.949808
 0.708,0.263384,1.000000,58.973889
 0.710,0.263329,1.000000,58.997869
 0.712,0.263274,1.000000,59.021746
 0.714,0.263220,1.000000,59.045521
 0.716,0.263165,1.000000,59.069193
 0.718,0.263110,1.000000,59.092762
 0.720,0.263055,1.000000,59.116228
 0.722,0.263001,1.000000,59.139590
 0.724,0.262946,1.000000,59.162848
 0.726,0.262891,1.000000,59.186002
 0.728,0.262836,1.000000,59.209051
 0.730,0.262781,1.000000,59.231996
 0.732,0.262727,1.000000,59.254835
 0.734,0.262672,1.000000,59.277569
 0.736,0.262617,1.000000,59.300197
 0.738,0.262562,1.000000,59.322720
 0.740,0.262507,1.000000,59.345136
 0.742,0.262452,1.000000,59.367445
 0.744,0.262398,1.000000,59.389649
 0.746,0.262343,1.000000,59.411745
 0.748,0.262288,1.000000,59.433734
 0.750,0.262233,1.000000,59.455616
 0.752,0.262178,1.000000,59.477390
 0.754,0.262123,1.000000,59.499055
 0.756,0.262069,1.000000,59.520613
 0.758,0.262014,1.000000,59.542062
 0.760,0.261959,1.000000,59.563403
 0.762,0.261904,1.000000,59.584634
 0.764,0.261849,1.000000,59.605756
 0.766,0.261794,1.000000,59.626768
 0.768,0.261739,1.000000,59.647671
 0.770,0.261685,1.000000,59.668464
 0.772,0.261630,1.000000,59.689146
 0.774,0.261575,1.000000,59.709718
 0.776,0.261520,1.000000,59.730179
 0.778,0.261465,1.000000,59.750528
 0.780,0.261410,1.000000,59.770767
 0.782,0.261355,1.000000,59.790893
 0.784,0.261300,1.000000,59.810908
 0.786,0.261245,1.000000,59.830811
 0.788,0.261191,1.000000,59.850601
 0.790,0.261136,1.000000,59.870279
 0.792,0.261081,1.000000,59.889844
 0.794,0.261026,1.000000,59.909295
 0.796,0.260971,1.000000,59.928634
 0.798,0.260916,1.000000,59.947858
 0.800,0.260861,1.000000,59.966969
 0.802,0.260806,1.000000,59.985965
 0.804,0.260751,1.000000,60.004847
 0.806,0.260696,1.000000,60.023615
 0.808,0.260641,1.000000,60.042267
 0.810,0.260586,1.000000,60.060804
 0.812,0.260531,1.000000,60.079226
 0.814,0.260476,1.000000,60.097533
 0.816,0.260421,1.000000,60.115723
 0.818,0.260367,1.000000,60.133797
 0.820,0.260312,1.000000,60.151755
 0.822,0.260257,1.000000,60.169596
 0.824,0.260202,1.000000,60.187313
 0.826,0.260147,1.000000,60.204954
 0.828,0.260092,1.000000,60.222755
 0.830,0.260037,1.000000,60.240607
 0.832,0.259982,1.000000,60.258362
 0.834,0.259927,1.000000,60.275999
 0.836,0.259872,1.000000,60.293554
 0.838,0.259817,1.000000,60.310951
 0.840,0.259762,1.000000,60.328164
 0.842,0.259707,1.000000,60.345244
 0.844,0.259652,1.000000,60.362182
 0.846,0.259597,1.000000,60.379021
 0.848,0.259542,1.000000,60.395698
 0.850,0.259487,1.000000,60.412227
 0.852,0.259432,1.000000,60.428610
 0.854,0.259377,1.000000,60.444848
 0.856,0.259322,1.000000,60.460943
 0.858,0.259267,1.000000,60.476896
 0.860,0.259212,1.000000,60.492709
 0.862,0.259157,1.000000,60.508382
 0.864,0.259102,1.000000,60.523917
 0.866,0.259047,1.000000,60.539315
 0.868,0.258991,1.000000,60.554577
 0.870,0.258936,1.000000,60.569703
 0.872,0.258881,1.000000,60.584694
 0.874,0.258826,1.000000,60.599551
 0.876,0.258771,1.000000,60.614275
 0.878,0.258716,1.000000,60.628865
 0.880,0.258661,1.000000,60.643323
 0.882,0.258606,1.000000,60.657649
 0.884,0.258551,1.000000,60.671843
 0.886,0.258496,1.000000,60.685906
 0.888,0.258441,1.000000,60.699838
 0.890,0.258386,1.000000,60.713639
 0.892,0.258330,1.000000,60.727309
 0.894,0.258275,1.000000,60.740849
 0.896,0.258220,1.000000,60.754258
 0.898,0.258165,1.000000,60.767537
 0.900,0.258110,1.000000,60.780686
 0.902,0.258055,1.000000,60.793706
