Time(s),Force(N)
 1.860,   0.706
 1.862,   0.698
 1.864,   0.664
 1.866,   0.621
 1.868,   0.590
 1.870,   0.595
 1.872,   0.694
 1.874,   0.703
 1.876,   0.674
 1.878,   0.631
 1.880,   0.595
 1.882,   0.586
 1.884,   0.671
 1.886,   0.706
 1.888,   0.684
 1.890,   0.642
 1.892,   0.602
 1.894,   0.585
 1.896,   0.639
 1.898,   0.707
 1.900,   0.692
 1.902,   0.653
 1.904,   0.611
 1.906,   0.586
 1.908,   0.613
 1.910,   0.706
 1.912,   0.698
 1.914,   0.664
 1.916,   0.621
 1.918,   0.590
 1.920,   0.595
 1.922,   0.694
 1.924,   0.703
 1.926,   0.674
 1.928,   0.631
 1.930,   0.595
 1.932,   0.586
 1.934,   0.671
 1.936,   0.706
 1.938,   0.684
 1.940,   0.642
 1.942,   0.602
 1.944,   0.585
 1.946,   0.639
 1.948,   0.707
 1.950,   0.692
 1.952,   0.653
 1.954,   0.611
 1.956,   0.586
 1.958,   0.613
 1.960,   0.706
 1.962,   0.698
 1.964,   0.664
 1.966,   0.621
 1.968,   0.590
 1.970,   0.595
 1.972,   0.694
 1.974,   0.703
 1.976,   0.674
 1.978,   0.631
 1.980,   0.595
 1.982,   0.586
 1.984,   0.671
 1.986,   0.706
 1.988,   0.684
 1.990,   0.642
 1.992,   0.602
 1.994,   0.585
 1.996,   0.639
 1.998,   0.707
 2.000,   0.692
