Sample,FX,FY,FZ,MX,MY,MZ
330,-0.033989,0.036198,0.632647,0.047384,-0.054087,0.017755
331,-0.035312,0.037934,0.633171,0.048281,-0.055466,0.018425
332,-0.036357,0.039009,0.634754,0.049760,-0.058389,0.019317
333,-0.036775,0.038225,0.636908,0.050716,-0.060846,0.020005
334,-0.037113,0.036363,0.638276,0.051071,-0.061658,0.020595
335,-0.037398,0.034755,0.638468,0.050635,-0.060701,0.020764
336,-0.036979,0.034147,0.638201,0.048981,-0.058718,0.019710
337,-0.035901,0.034758,0.638039,0.047065,-0.057003,0.017494
338,-0.034807,0.036035,0.638214,0.046598,-0.056308,0.015479
339,-0.033650,0.036533,0.638977,0.047655,-0.056228,0.014803
340,-0.032266,0.035491,0.640155,0.048788,-0.056031,0.015401
341,-0.031630,0.034149,0.640809,0.049110,-0.055719,0.016992
342,-0.032627,0.034208,0.640139,0.048968,-0.055932,0.019352
343,-0.034438,0.035690,0.638585,0.049101,-0.057048,0.021447
344,-0.035625,0.037294,0.637350,0.049991,-0.058945,0.022250
345,-0.035903,0.037934,0.637084,0.051498,-0.061311,0.022118
346,-0.035732,0.037272,0.637631,0.052523,-0.063378,0.021778
347,-0.035093,0.035507,0.638576,0.051578,-0.063898,0.020990
348,-0.033853,0.033443,0.639520,0.048367,-0.062365,0.019486
349,-0.032575,0.032434,0.640267,0.044472,-0.059832,0.017872
350,-0.031722,0.033150,0.641218,0.041821,-0.057734,0.016494
351,-0.030878,0.034651,0.642996,0.041002,-0.056654,0.014793
352,-0.030005,0.035616,0.645184,0.041625,-0.056835,0.012874
353,-0.030307,0.035809,0.646369,0.043454,-0.058551,0.012434
354,-0.032342,0.035626,0.645907,0.046130,-0.061136,0.014679
355,-0.034726,0.035170,0.644682,0.048296,-0.062769,0.018249
356,-0.036090,0.034585,0.643847,0.048603,-0.062425,0.020616
357,-0.036605,0.034333,0.643762,0.047450,-0.061124,0.020676
358,-0.036718,0.034402,0.644365,0.046230,-0.060336,0.019034
359,-0.036322,0.034202,0.645500,0.045539,-0.060413,0.016873
360,-0.035659,0.033684,0.646597,0.045332,-0.061084,0.015298
361,-0.035529,0.033607,0.647040,0.045661,-0.061969,0.014917
362,-0.036263,0.034337,0.646894,0.046194,-0.062412,0.015428
363,-0.037280,0.035333,0.646745,0.046065,-0.061988,0.015688
364,-0.038118,0.036088,0.647055,0.045140,-0.061199,0.014779
365,-0.038984,0.036241,0.648040,0.044380,-0.060938,0.013145
366,-0.039499,0.034858,0.649887,0.044159,-0.061324,0.011882
367,-0.038632,0.031603,0.652381,0.043674,-0.061807,0.011401
368,-0.036583,0.028245,0.654590,0.042463,-0.062312,0.011848
369,-0.034939,0.027072,0.655704,0.041299,-0.063348,0.013517
370,-0.034706,0.028307,0.655773,0.041133,-0.064917,0.015795
371,-0.035490,0.030330,0.655342,0.041979,-0.066234,0.017038
372,-0.036695,0.031736,0.654850,0.043492,-0.066875,0.016487
373,-0.038076,0.031961,0.654724,0.045395,-0.067128,0.015094
374,-0.038886,0.030730,0.655729,0.046635,-0.066908,0.013829
375,-0.038360,0.028520,0.658234,0.046002,-0.065719,0.012686
376,-0.037154,0.026880,0.661233,0.044001,-0.063876,0.011607
377,-0.036577,0.027009,0.663384,0.042429,-0.062535,0.010820
378,-0.036766,0.028546,0.664494,0.042261,-0.062428,0.010230
379,-0.036991,0.030176,0.665074,0.043138,-0.063429,0.009759
380,-0.037088,0.030890,0.665503,0.044314,-0.065238,0.010230
381,-0.037264,0.030401,0.666246,0.044927,-0.067519,0.012312
382,-0.037299,0.028892,0.667795,0.044154,-0.069409,0.014804
383,-0.037195,0.027228,0.669902,0.042379,-0.070073,0.015930
384,-0.037603,0.026662,0.671744,0.041240,-0.069806,0.015500
385,-0.038556,0.027251,0.673057,0.041600,-0.069409,0.014086
386,-0.038925,0.027583,0.674260,0.042418,-0.068808,0.011806
387,-0.037852,0.026672,0.675414,0.042315,-0.067734,0.009374
388,-0.035807,0.025025,0.676045,0.041328,-0.067047,0.008536
389,-0.033870,0.023831,0.676207,0.040301,-0.067664,0.009878
390,-0.032994,0.023958,0.676601,0.039581,-0.069094,0.011519
391,-0.034090,0.025603,0.677271,0.039355,-0.070312,0.011558
392,-0.037177,0.028219,0.677287,0.040257,-0.071030,0.010576
393,-0.040371,0.030693,0.676172,0.042411,-0.071461,0.010159
394,-0.041366,0.031988,0.674844,0.044384,-0.071718,0.010436
395,-0.039930,0.031984,0.674578,0.044485,-0.071859,0.010659
396,-0.038006,0.031515,0.675616,0.042813,-0.071907,0.010628
397,-0.037525,0.031185,0.677387,0.040833,-0.071450,0.010190
398,-0.038726,0.030851,0.679283,0.039807,-0.070114,0.008963
399,-0.040586,0.030559,0.680523,0.040352,-0.068581,0.007664
400,-0.041964,0.030524,0.680344,0.042187,-0.068095,0.008051
401,-0.041975,0.030275,0.679049,0.043848,-0.068868,0.010517
402,-0.040527,0.029284,0.678009,0.043804,-0.069856,0.013188
403,-0.038887,0.028044,0.678213,0.042112,-0.070186,0.014229
