Time(s),Length(m),[Calcium],Force(N)
 0.702,0.254456,1.000000,37.484150
 0.704,0.254345,1.000000,37.491446
 0.706,0.254235,1.000000,37.498377
 0.708,0.254124,1.000000,37.504942
 0.710,0.254013,1.000000,37.511141
 0.712,0.253902,1.000000,37.516973
 0.714,0.253791,1.000000,37.522438
 0.716,0.253680,1.000000,37.527534
 0.718,0.253569,1.000000,37.532262
 0.720,0.253458,1.000000,37.536620
 0.722,0.253347,1.000000,37.540609
 0.724,0.253236,1.000000,37.544228
 0.726,0.253125,1.000000,37.547477
 0.728,0.253014,1.000000,37.550355
 0.730,0.252903,1.000000,37.552862
 0.732,0.252792,1.000000,37.554997
 0.734,0.252681,1.000000,37.556761
 0.736,0.252570,1.000000,37.558152
 0.738,0.252459,1.000000,37.559172
 0.740,0.252348,1.000000,37.559818
 0.742,0.252237,1.000000,37.560091
 0.744,0.252125,1.000000,37.559991
 0.746,0.252014,1.000000,37.559517
 0.748,0.251903,1.000000,37.558668
 0.750,0.251792,1.000000,37.557445
 0.752,0.251681,1.000000,37.555847
 0.754,0.251570,1.000000,37.553874
 0.756,0.251458,1.000000,37.551525
 0.758,0.251347,1.000000,37.548800
 0.760,0.251236,1.000000,37.545698
 0.762,0.251125,1.000000,37.542220
 0.764,0.251014,1.000000,37.538364
 0.766,0.250902,1.000000,37.534130
 0.768,0.250791,1.000000,37.529519
 0.770,0.250680,1.000000,37.524528
 0.772,0.250569,1.000000,37.519159
 0.774,0.250457,1.000000,37.513410
 0.776,0.250346,1.000000,37.507282
 0.778,0.250235,1.000000,37.500773
 0.780,0.250123,1.000000,37.493883
 0.782,0.250012,1.000000,37.486613
 0.784,0.249901,1.000000,37.478960
 0.786,0.249789,1.000000,37.470926
 0.788,0.249678,1.000000,37.462509
 0.790,0.249566,1.000000,37.453709
 0.792,0.249455,1.000000,37.444526
 0.794,0.249344,1.000000,37.434960
 0.796,0.249232,1.000000,37.425008
 0.798,0.249121,1.000000,37.414673
 0.800,0.249009,1.000000,37.403952
 0.802,0.248898,1.000000,37.392845
 0.804,0.248786,1.000000,37.381353
 0.806,0.248675,1.000000,37.368345
 0.808,0.248563,1.000000,37.354718
 0.810,0.248452,1.000000,37.340964
 0.812,0.248340,1.000000,37.327126
 0.814,0.248228,1.000000,37.313168
 0.816,0.248117,1.000000,37.299058
 0.818,0.248005,1.000000,37.284767
 0.820,0.247894,1.000000,37.270273
 0.822,0.247782,1.000000,37.255551
 0.824,0.247670,1.000000,37.240581
