Time(s),Length(m),[Calcium],Force(N)
 0.361,0.253274,1.000000,99.583770
 0.362,0.253274,1.000000,99.592381
 0.363,0.253274,1.000000,99.600798
 0.364,0.253274,1.000000,99.609027
 0.365,0.253275,1.000000,99.617072
 0.366,0.253275,1.000000,99.624937
 0.367,0.253275,1.000000,99.632627
 0.368,0.253275,1.000000,99.640146
 0.369,0.253276,1.000000,99.647498
 0.370,0.253276,1.000000,99.654687
 0.371,0.253276,1.000000,99.661717
 0.372,0.253276,1.000000,99.668591
 0.373,0.253277,1.000000,99.675313
 0.374,0.253277,1.000000,99.681888
 0.375,0.253277,1.000000,99.688317
 0.376,0.253277,1.000000,99.694606
 0.377,0.253277,1.000000,99.700757
 0.378,0.253278,1.000000,99.706772
 0.379,0.253278,1.000000,99.712657
 0.380,0.253278,1.000000,99.718413
 0.381,0.253278,1.000000,99.724044
 0.382,0.253278,1.000000,99.729552
 0.383,0.253278,1.000000,99.734940
 0.384,0.253279,1.000000,99.740212
 0.385,0.253279,1.000000,99.745370
 0.386,0.253279,1.000000,99.750416
 0.387,0.253279,1.000000,99.755353
 0.388,0.253279,1.000000,99.760184
 0.389,0.253279,1.000000,99.764911
 0.390,0.253280,1.000000,99.769537
 0.391,0.253280,1.000000,99.774063
 0.392,0.253280,1.000000,99.778493
 0.393,0.253280,1.000000,99.782828
 0.394,0.253280,1.000000,99.787070
 0.395,0.253280,1.000000,99.791222
 0.396,0.253280,1.000000,99.795286
 0.397,0.253281,1.000000,99.799264
 0.398,0.253281,1.000000,99.803157
 0.399,0.253281,1.000000,99.806968
 0.400,0.253281,1.000000,99.810699
 0.401,0.253281,1.000000,99.814351
 0.402,0.253281,1.000000,99.817926
 0.403,0.253281,1.000000,99.821426
 0.404,0.253281,1.000000,99.824852
 0.405,0.253282,1.000000,99.828207
 0.406,0.253282,1.000000,99.831492
 0.407,0.253282,1.000000,99.834708
 0.408,0.253282,1.000000,99.837857
 0.409,0.253282,1.000000,99.840940
 0.410,0.253282,1.000000,99.843960
 0.411,0.253282,1.000000,99.846917
 0.412,0.253282,1.000000,99.849812
 0.413,0.253282,1.000000,99.852648
 0.414,0.253282,1.000000,99.855426
 0.415,0.253283,1.000000,99.858146
 0.416,0.253283,1.000000,99.860810
 0.417,0.253283,1.000000,99.863420
 0.418,0.253283,1.000000,99.865976
 0.419,0.253283,1.000000,99.868479
 0.420,0.253283,1.000000,99.870932
 0.421,0.253283,1.000000,99.873334
 0.422,0.253283,1.000000,99.875688
 0.423,0.253283,1.000000,99.877994
 0.424,0.253283,1.000000,99.880253
 0.425,0.253283,1.000000,99.882466
 0.426,0.253283,1.000000,99.884635
 0.427,0.253283,1.000000,99.886760
 0.428,0.253284,1.000000,99.888842
 0.429,0.253284,1.000000,99.890882
 0.430,0.253284,1.000000,99.892881
 0.431,0.253284,1.000000,99.894840
 0.432,0.253284,1.000000,99.896760
 0.433,0.253284,1.000000,99.898641
 0.434,0.253284,1.000000,99.900485
 0.435,0.253284,1.000000,99.902293
 0.436,0.253284,1.000000,99.904064
 0.437,0.253284,1.000000,99.905800
 0.438,0.253284,1.000000,99.907502
 0.439,0.253284,1.000000,99.909170
 0.440,0.253284,1.000000,99.910805
 0.441,0.253284,1.000000,99.912408
 0.442,0.253284,1.000000,99.913979
 0.443,0.253284,1.000000,99.915520
 0.444,0.253284,1.000000,99.917030
 0.445,0.253285,1.000000,99.918511
 0.446,0.253285,1.000000,99.919962
 0.447,0.253285,1.000000,99.921386
 0.448,0.253285,1.000000,99.922782
 0.449,0.253285,1.000000,99.924150
 0.450,0.253285,1.000000,99.925492
 0.451,0.253285,1.000000,99.926808
 0.452,0.253285,1.000000,99.928099
 0.453,0.253285,1.000000,99.929364
 0.454,0.253285,1.000000,99.930605
 0.455,0.253285,1.000000,99.931823
 0.456,0.253285,1.000000,99.933017
 0.457,0.253285,1.000000,99.934188
 0.458,0.253285,1.000000,99.935336
 0.459,0.253285,1.000000,99.936463
 0.460,0.253285,1.000000,99.937568
 0.461,0.253285,1.000000,99.938652
 0.462,0.253285,1.000000,99.939716
 0.463,0.253285,1.000000,99.940759
 0.464,0.253285,1.000000,99.941782
 0.465,0.253285,1.000000,99.942787
 0.466,0.253285,1.000000,99.943772
 0.467,0.253285,1.000000,99.944738
 0.468,0.253285,1.000000,99.945687
 0.469,0.253285,1.000000,99.946617
 0.470,0.253285,1.000000,99.947530
 0.471,0.253286,1.000000,99.948426
 0.472,0.253286,1.000000,99.949306
 0.473,0.253286,1.000000,99.950168
 0.474,0.253286,1.000000,99.951015
 0.475,0.253286,1.000000,99.951846
 0.476,0.253286,1.000000,99.952662
 0.477,0.253286,1.000000,99.953462
 0.478,0.253286,1.000000,99.954248
 0.479,0.253286,1.000000,99.955019
 0.480,0.253286,1.000000,99.955776
 0.481,0.253286,1.000000,99.956519
 0.482,0.253286,1.000000,99.957248
 0.483,0.253286,1.000000,99.957964
 0.484,0.253286,1.000000,99.958667
 0.485,0.253286,1.000000,99.959357
 0.486,0.253286,1.000000,99.960034
 0.487,0.253286,1.000000,99.960699
 0.488,0.253286,1.000000,99.961352
 0.489,0.253286,1.000000,99.961993
 0.490,0.253286,1.000000,99.962623
 0.491,0.253286,1.000000,99.963241
 0.492,0.253286,1.000000,99.963848
 0.493,0.253286,1.000000,99.964444
 0.494,0.253286,1.000000,99.965029
 0.495,0.253286,1.000000,99.965604
 0.496,0.253286,1.000000,99.966168
 0.497,0.253286,1.000000,99.966722
 0.498,0.253286,1.000000,99.967267
 0.499,0.253286,1.000000,99.967801
 0.500,0.253286,0.999527,99.968326
 0.501,0.253286,0.904405,99.967544
 0.502,0.253286,0.818340,99.964046
 0.503,0.253286,0.740464,99.957615
