Frame,KNEX,KNEY,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
190,0.3967,0.4129,0.2480,0.0838,0.1836,0.0346,0.3281,0.0602
191,0.4133,0.4096,0.2520,0.0865,0.1844,0.0367,0.3293,0.0605
192,0.4285,0.4067,0.2555,0.0897,0.1853,0.0391,0.3304,0.0608
193,0.4392,0.4039,0.2574,0.0919,0.1858,0.0407,0.3311,0.0610
194,0.4447,0.4013,0.2577,0.0924,0.1860,0.0413,0.3313,0.0611
195,0.4458,0.3990,0.2568,0.0913,0.1858,0.0407,0.3311,0.0610
196,0.4448,0.3965,0.2554,0.0890,0.1855,0.0393,0.3306,0.0608
197,0.4436,0.3938,0.2539,0.0865,0.1850,0.0379,0.3300,0.0606
198,0.4427,0.3916,0.2528,0.0844,0.1847,0.0369,0.3296,0.0604
199,0.4424,0.3905,0.2521,0.0835,0.1845,0.0366,0.3294,0.0603
200,0.4426,0.3904,0.2519,0.0837,0.1845,0.0367,0.3295,0.0603
201,0.4434,0.3907,0.2522,0.0844,0.1846,0.0369,0.3296,0.0605
202,0.4450,0.3907,0.2528,0.0850,0.1846,0.0372,0.3297,0.0607
203,0.4469,0.3901,0.2533,0.0854,0.1846,0.0373,0.3298,0.0608
204,0.4485,0.3893,0.2537,0.0854,0.1846,0.0374,0.3299,0.0610
205,0.4494,0.3887,0.2538,0.0853,0.1846,0.0375,0.3299,0.0611
206,0.4493,0.3885,0.2537,0.0853,0.1846,0.0377,0.3299,0.0612
207,0.4486,0.3887,0.2535,0.0852,0.1846,0.0377,0.3299,0.0612
208,0.4476,0.3891,0.2532,0.0850,0.1846,0.0376,0.3299,0.0612
209,0.4465,0.3894,0.2529,0.0847,0.1845,0.0374,0.3298,0.0611
210,0.4454,0.3896,0.2526,0.0845,0.1843,0.0372,0.3296,0.0610
211,0.4444,0.3898,0.2524,0.0843,0.1842,0.0370,0.3295,0.0610
212,0.4437,0.3901,0.2522,0.0842,0.1841,0.0370,0.3294,0.0610
213,0.4433,0.3903,0.2522,0.0842,0.1841,0.0370,0.3293,0.0610
214,0.4433,0.3904,0.2522,0.0842,0.1841,0.0370,0.3294,0.0610
215,0.4436,0.3903,0.2522,0.0842,0.1842,0.0371,0.3294,0.0610
216,0.4441,0.3901,0.2523,0.0843,0.1843,0.0372,0.3295,0.0610
217,0.4447,0.3898,0.2524,0.0843,0.1844,0.0372,0.3296,0.0611
218,0.4453,0.3895,0.2526,0.0843,0.1844,0.0372,0.3296,0.0611
219,0.4457,0.3893,0.2526,0.0843,0.1844,0.0372,0.3296,0.0611
220,0.4460,0.3891,0.2526,0.0842,0.1844,0.0372,0.3296,0.0611
221,0.4460,0.3889,0.2526,0.0842,0.1844,0.0372,0.3296,0.0612
222,0.4461,0.3888,0.2526,0.0841,0.1844,0.0371,0.3296,0.0612
223,0.4462,0.3886,0.2526,0.0840,0.1844,0.0371,0.3296,0.0611
224,0.4462,0.3885,0.2527,0.0838,0.1845,0.0370,0.3297,0.0611
225,0.4462,0.3885,0.2527,0.0838,0.1845,0.0369,0.3298,0.0610
226,0.4460,0.3885,0.2528,0.0837,0.1845,0.0369,0.3297,0.0610
227,0.4456,0.3887,0.2527,0.0837,0.1844,0.0369,0.3296,0.0611
228,0.4450,0.3890,0.2527,0.0837,0.1844,0.0368,0.3296,0.0611
229,0.4442,0.3895,0.2525,0.0836,0.1843,0.0368,0.3295,0.0612
230,0.4430,0.3901,0.2524,0.0836,0.1843,0.0367,0.3295,0.0612
231,0.4417,0.3908,0.2521,0.0837,0.1843,0.0367,0.3295,0.0612
232,0.4402,0.3917,0.2518,0.0837,0.1843,0.0366,0.3294,0.0612
233,0.4385,0.3926,0.2516,0.0838,0.1842,0.0365,0.3294,0.0611
234,0.4368,0.3937,0.2515,0.0839,0.1842,0.0365,0.3293,0.0611
235,0.4349,0.3949,0.2515,0.0839,0.1841,0.0364,0.3293,0.0611
236,0.4329,0.3961,0.2515,0.0840,0.1841,0.0364,0.3292,0.0612
237,0.4306,0.3975,0.2514,0.0840,0.1841,0.0363,0.3292,0.0612
238,0.4280,0.3990,0.2513,0.0841,0.1840,0.0363,0.3291,0.0613
239,0.4251,0.4006,0.2511,0.0843,0.1840,0.0362,0.3290,0.0614
240,0.4221,0.4023,0.2508,0.0845,0.1840,0.0362,0.3290,0.0615
241,0.4189,0.4041,0.2506,0.0847,0.1840,0.0362,0.3289,0.0616
242,0.4156,0.4059,0.2503,0.0849,0.1839,0.0362,0.3289,0.0617
243,0.4121,0.4078,0.2500,0.0851,0.1839,0.0361,0.3288,0.0618
244,0.4084,0.4097,0.2497,0.0853,0.1838,0.0361,0.3287,0.0619
245,0.4046,0.4116,0.2494,0.0855,0.1838,0.0361,0.3287,0.0620
246,0.4006,0.4135,0.2491,0.0857,0.1837,0.0361,0.3286,0.0620
247,0.3964,0.4155,0.2487,0.0860,0.1837,0.0360,0.3285,0.0621
248,0.3922,0.4175,0.2483,0.0863,0.1836,0.0360,0.3284,0.0621
249,0.3879,0.4195,0.2480,0.0866,0.1835,0.0359,0.3284,0.0622
250,0.3835,0.4214,0.2476,0.0869,0.1835,0.0359,0.3283,0.0623
251,0.3790,0.4234,0.2473,0.0872,0.1835,0.0359,0.3283,0.0624
252,0.3744,0.4254,0.2469,0.0875,0.1835,0.0359,0.3283,0.0625
253,0.3697,0.4273,0.2466,0.0879,0.1835,0.0359,0.3283,0.0626
254,0.3649,0.4293,0.2462,0.0882,0.1834,0.0359,0.3282,0.0626
255,0.3600,0.4311,0.2458,0.0886,0.1833,0.0359,0.3281,0.0627
256,0.3550,0.4330,0.2455,0.0889,0.1832,0.0358,0.3280,0.0627
257,0.3500,0.4347,0.2451,0.0892,0.1832,0.0358,0.3280,0.0627
258,0.3448,0.4365,0.2447,0.0896,0.1832,0.0358,0.3280,0.0628
259,0.3397,0.4382,0.2443,0.0900,0.1832,0.0359,0.3280,0.0629
260,0.3345,0.4399,0.2440,0.0904,0.1832,0.0359,0.3280,0.0630
261,0.3295,0.4414,0.2436,0.0908,0.1831,0.0359,0.3279,0.0631
262,0.3245,0.4428,0.2434,0.0911,0.1831,0.0358,0.3279,0.0631
263,0.3195,0.4442,0.2432,0.0914,0.1830,0.0358,0.3278,0.0631
264,0.3146,0.4454,0.2430,0.0916,0.1829,0.0357,0.3277,0.0632
265,0.3096,0.4466,0.2427,0.0919,0.1828,0.0358,0.3276,0.0633
266,0.3046,0.4476,0.2424,0.0921,0.1828,0.0358,0.3276,0.0634
267,0.2997,0.4486,0.2421,0.0923,0.1828,0.0358,0.3276,0.0635
268,0.2947,0.4494,0.2419,0.0925,0.1828,0.0358,0.3275,0.0635
269,0.2900,0.4501,0.2417,0.0926,0.1827,0.0357,0.3275,0.0636
270,0.2855,0.4507,0.2415,0.0927,0.1827,0.0356,0.3274,0.0636
271,0.2812,0.4513,0.2414,0.0928,0.1827,0.0356,0.3274,0.0637
272,0.2771,0.4516,0.2413,0.0928,0.1826,0.0355,0.3273,0.0637
273,0.2733,0.4519,0.2411,0.0928,0.1826,0.0354,0.3273,0.0637
274,0.2697,0.4521,0.2410,0.0928,0.1825,0.0353,0.3272,0.0637
275,0.2663,0.4522,0.2409,0.0927,0.1825,0.0352,0.3271,0.0636
276,0.2633,0.4523,0.2408,0.0926,0.1825,0.0351,0.3271,0.0636
277,0.2607,0.4522,0.2407,0.0925,0.1825,0.0350,0.3271,0.0636
278,0.2585,0.4522,0.2407,0.0924,0.1825,0.0349,0.3271,0.0636
279,0.2565,0.4522,0.2406,0.0923,0.1825,0.0349,0.3271,0.0636
280,0.2548,0.4521,0.2406,0.0922,0.1824,0.0348,0.3270,0.0636
281,0.2534,0.4520,0.2406,0.0921,0.1824,0.0348,0.3269,0.0636
282,0.2523,0.4520,0.2406,0.0920,0.1823,0.0347,0.3269,0.0636
283,0.2515,0.4519,0.2406,0.0919,0.1823,0.0346,0.3268,0.0635
284,0.2510,0.4519,0.2405,0.0919,0.1823,0.0346,0.3268,0.0635
285,0.2507,0.4519,0.2404,0.0918,0.1823,0.0346,0.3268,0.0635
286,0.2506,0.4518,0.2403,0.0918,0.1823,0.0346,0.3268,0.0635
287,0.2507,0.4517,0.2402,0.0917,0.1823,0.0346,0.3268,0.0635
288,0.2510,0.4516,0.2400,0.0916,0.1823,0.0347,0.3268,0.0635
