Frame,KNEX,KNEY,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
196,0.2245,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
197,0.2244,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
198,0.2245,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
199,0.2245,0.4507,0.2143,0.091,0.1547,0.0346,0.3026,0.0632
200,0.2245,0.4507,0.2143,0.091,0.1547,0.0346,0.3026,0.0632
201,0.2245,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
202,0.2245,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
203,0.2245,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
204,0.2246,0.4507,0.2143,0.091,0.1547,0.0346,0.3026,0.0632
205,0.2245,0.4507,0.2143,0.091,0.1547,0.0346,0.3026,0.0632
206,0.2245,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
207,0.2245,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
208,0.2246,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
209,0.2246,0.4507,0.2143,0.091,0.1547,0.0347,0.3026,0.0632
210,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
211,0.2246,0.4505,0.2144,0.0908,0.1547,0.0346,0.3026,0.0632
212,0.2246,0.4505,0.2143,0.0908,0.1547,0.0346,0.3026,0.0632
213,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
214,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
215,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
216,0.2246,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
217,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
218,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
219,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
220,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
221,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
222,0.2246,0.4507,0.2144,0.091,0.1547,0.0347,0.3026,0.0632
223,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
224,0.2246,0.4507,0.2144,0.091,0.1547,0.0348,0.3026,0.0634
225,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
226,0.2246,0.4507,0.2145,0.091,0.1547,0.0346,0.3026,0.0632
227,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
228,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
229,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
230,0.2246,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
231,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
232,0.2246,0.4506,0.2144,0.091,0.1547,0.0347,0.3026,0.0632
233,0.2246,0.4506,0.2144,0.0909,0.1547,0.0346,0.3026,0.0632
234,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
235,0.2246,0.4506,0.2144,0.091,0.1547,0.0347,0.3026,0.0632
236,0.2246,0.4506,0.2144,0.0909,0.1547,0.0346,0.3026,0.0632
237,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
238,0.2246,0.4506,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
239,0.2246,0.4506,0.2143,0.091,0.1547,0.0346,0.3026,0.0632
